open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1758153600000,0.01096,0.01109,0.01094,0.01096,44713837,1758157199999,492638.58326,4083,24565039,270828.40327,0
1758157200000,0.01097,0.01107,0.01096,0.01102,13128061,1758160799999,144705.48365,1813,5178537,57110.06873,0
1758160800000,0.01102,0.01103,0.01091,0.01101,16046069,1758164399999,176059.07795,1701,8576652,94121.61695,0
1758164400000,0.01102,0.01113,0.01099,0.01108,20278045,1758167999999,224687.71071,1772,10871136,120467.40447,0
1758168000000,0.01108,0.01117,0.01108,0.01112,26808012,1758171599999,298317.01591,2048,14130501,157266.72536,0
1758171600000,0.01113,0.01117,0.01104,0.01109,20383331,1758175199999,226380.64180,1627,10258284,113983.19002,0
1758175200000,0.01109,0.01111,0.01095,0.01097,47772380,1758178799999,527313.67987,2497,22736916,251158.47767,0
1758178800000,0.01098,0.01109,0.01097,0.01104,11256303,1758182399999,124018.30947,1264,6802464,74969.35328,0
1758182400000,0.01105,0.01119,0.01101,0.01119,28232925,1758185999999,314226.84721,1906,13906843,154787.97588,0
1758186000000,0.01119,0.01122,0.01084,0.01102,91028022,1758189599999,1001887.68830,6080,38032578,418225.83045,0
1758189600000,0.01102,0.01106,0.01091,0.01098,29831007,1758193199999,327105.51946,4126,16127945,176888.17143,0
1758193200000,0.01098,0.01101,0.01094,0.01100,20262913,1758196799999,222425.17413,2391,10282711,112880.52596,0
1758196800000,0.01099,0.01104,0.01093,0.01101,9781775,1758200399999,107556.40141,1059,4372960,48095.01073,0
1758200400000,0.01102,0.01110,0.01095,0.01106,14733740,1758203999999,162523.62229,1673,7135329,78749.06534,0
1758204000000,0.01106,0.01113,0.01100,0.01105,24975361,1758207599999,276404.63944,1645,10124601,111972.09619,0
1758207600000,0.01105,0.01110,0.01101,0.01110,11601847,1758211199999,128311.93306,1485,7310794,80889.56837,0
1758211200000,0.01110,0.01117,0.01109,0.01115,11551063,1758214799999,128581.72362,1656,5955913,66310.57697,0
1758214800000,0.01116,0.01122,0.01112,0.01121,22076363,1758218399999,246909.18702,2161,13591897,152075.07084,0
1758218400000,0.01121,0.01126,0.01119,0.01125,18143842,1758221999999,203817.70360,1664,10873567,122166.22897,0
1758222000000,0.01125,0.01126,0.01107,0.01113,20496456,1758225599999,228619.60904,1580,6675269,74478.48127,0
1758225600000,0.01113,0.01117,0.01111,0.01114,9970575,1758229199999,111082.71344,1177,4282174,47727.99389,0
1758229200000,0.01114,0.01123,0.01112,0.01121,17507738,1758232799999,195715.99017,1119,11541488,129058.24961,0
1758232800000,0.01120,0.01120,0.01110,0.01111,12686229,1758236399999,141546.53408,1226,6731512,75114.44913,0
1758236400000,0.01110,0.01110,0.01103,0.01108,16725846,1758239999999,185167.99648,1457,6534630,72342.97071,0
